iter	Accuracy	Logloss
0	1	0.633685386
1	1	0.5935373697
2	1	0.5605307915
3	1	0.5352755238
4	1	0.513858498
5	1	0.4950343045
6	1	0.4552832163
7	1	0.419115525
8	1	0.3965259764
9	1	0.3724180436
10	1	0.3506959683
11	1	0.3295537581
12	1	0.3035133052
13	1	0.2841551343
14	1	0.2713841878
15	1	0.2512874907
16	1	0.2384047531
17	1	0.2319019979
18	1	0.2175419293
19	1	0.2066092618
20	1	0.1928348291
21	1	0.1824856632
22	1	0.1709398943
23	1	0.1604357716
24	1	0.1525844756
25	1	0.1436999414
26	1	0.1393760014
27	1	0.1316128076
28	1	0.1279718999
29	1	0.1241053727
30	1	0.1203452815
31	1	0.1149234818
32	1	0.1111932317
33	1	0.1063881608
34	1	0.1027040587
35	1	0.1000832882
36	1	0.09631535309
37	1	0.09366837701
38	1	0.08944039001
39	1	0.08550955565
40	1	0.08184926125
41	1	0.07943920895
42	1	0.07618224366
43	1	0.07454998437
44	1	0.07160878811
45	1	0.06988301457
46	1	0.06891020889
47	1	0.06632258955
48	1	0.06475820806
49	1	0.06343400111
50	1	0.06117409779
51	1	0.05935579456
52	1	0.05775512142
53	1	0.05678371453
54	1	0.05531281809
55	1	0.05350931158
56	1	0.05256557374
57	1	0.05178591319
58	1	0.05075841858
59	1	0.04991420905
60	1	0.04926696644
61	1	0.04858962984
62	1	0.04773446705
63	1	0.04655467442
64	1	0.04587220912
65	1	0.04455554166
66	1	0.04382184886
67	1	0.04334391925
68	1	0.04272018754
69	1	0.04155367084
70	1	0.04089431073
71	1	0.03999437669
72	1	0.03958672172
73	1	0.03895470192
74	1	0.03796018144
75	1	0.03728328102
76	1	0.0366679133
77	1	0.03589352713
78	1	0.0352403738
79	1	0.03489970179
80	1	0.03452877235
81	1	0.03384110299
82	1	0.03306164773
83	1	0.03260218522
84	1	0.03210587767
85	1	0.03139550252
86	1	0.03071276849
87	1	0.03005619528
88	1	0.02942440145
89	1	0.02881609666
90	1	0.0283694484
91	1	0.02794184761
92	1	0.0273866467
93	1	0.02685109134
94	1	0.02667116326
95	1	0.02616038346
96	1	0.02566709196
97	1	0.0251904558
98	1	0.0248458669
99	1	0.02454518219
100	1	0.0242223502
101	1	0.02379236854
102	1	0.02344495145
103	1	0.02303993531
104	1	0.02279116692
105	1	0.02240643254
106	1	0.02218752811
107	1	0.02205348112
108	1	0.02169113493
109	1	0.02133959734
110	1	0.02099841527
111	1	0.02066715971
112	1	0.02034542418
113	1	0.02003282335
114	1	0.01972899167
115	1	0.01943358217
116	1	0.01914626535
117	1	0.01894100135
118	1	0.01866684548
119	1	0.01839997163
120	1	0.0182094043
121	1	0.0179543842
122	1	0.01777244831
123	1	0.01752854001
124	1	0.01729080342
125	1	0.01705901683
126	1	0.01683296873
127	1	0.01661245717
128	1	0.01639728933
129	1	0.01618728097
130	1	0.01598225596
131	1	0.01578204589
132	1	0.01558648962
133	1	0.01548363192
134	1	0.01529492383
135	1	0.01511049113
136	1	0.01493019558
137	1	0.01475390464
138	1	0.01458149123
139	1	0.01441283347
140	1	0.01424781436
141	1	0.01408632161
142	1	0.01392824738
143	1	0.01377348806
144	1	0.01362194408
145	1	0.01347351973
146	1	0.01332812294
147	1	0.01318566517
148	1	0.01304606118
149	1	0.01290922895
150	1	0.01277508946
151	1	0.01264356661
152	1	0.01251458708
153	1	0.01238808019
