iter	RMSE
0	1341444.421
1	1315958.497
2	1285006.148
3	1259011.035
4	1232076.087
5	1190041.71
6	1166182.096
7	1126938.716
8	1098520.042
9	1070672.098
10	1036499.678
11	1005233.139
12	977662.5446
13	957280.0328
14	937601.7771
15	907718.2366
16	891862.335
17	866806.0844
18	843253.1058
19	822574.0741
20	803053.7375
21	779120.9472
22	757250.8618
23	732854.1788
24	709588.4618
25	696522.7346
26	684199.7092
27	672498.7703
28	659145.5626
29	641144.5931
30	627991.554
31	612696.0128
32	601480.5748
33	590736.8827
34	574095.1007
35	561719.2157
36	553029.0016
37	536997.887
38	527716.4253
39	518904.4614
40	503970.6031
41	493614.3605
42	485283.8083
43	472198.8433
44	465878.4894
45	457296.6664
46	447828.9296
47	440276.5407
48	434072.4556
49	425463.8155
50	414035.7252
51	404257.5203
52	397320.4494
53	386861.912
54	380593.307
55	375041.499
56	365467.891
57	360214.2999
58	352024.7443
59	344440.3477
60	338361.5588
61	334057.0695
62	329390.1873
63	321975.1684
64	318010.6027
65	310853.3616
66	304807.3349
67	300962.6706
68	295735.3822
69	288984.7782
70	282620.9741
71	278190.9639
72	272576.8186
73	267734.4845
74	262120.1016
75	258313.2479
76	254727.3427
77	249695.9428
78	244961.5373
79	240180.047
80	236882.7005
81	233600.3638
82	230935.5449
83	226764.1321
84	223727.5252
85	220306.1527
86	217570.3187
87	214786.5128
88	211980.686
89	208292.344
90	205790.5114
91	202427.493
92	199741.0223
93	196726.285
94	192531.5315
95	189462.4774
96	187133.8721
97	184759.801
98	182613.6017
99	180454.1976
100	178259.5192
101	175840.5976
102	173622.6583
103	171435.6654
104	169514.6943
105	167427.4905
106	165326.9436
107	163199.9085
108	161322.1617
109	159119.9031
110	157188.1263
111	155315.8384
112	153500.9204
113	151354.3001
114	149618.7635
115	147371.2469
116	145674.1949
117	143960.0519
118	142248.8689
119	140380.2401
120	138657.7726
121	137008.1697
122	135094.5565
123	133350.6089
124	131657.1137
125	129696.6837
126	128298.8775
127	126703.9376
128	124951.6128
129	123363.3629
130	121927.054
131	120419.5331
132	119005.2263
133	118031.9051
134	116385.6874
135	114973.659
136	113582.5065
137	112233.869
138	110985.076
139	109607.4033
140	108024.0474
141	106659.9447
142	105285.427
143	104017.8578
144	102688.0372
145	101345.7478
146	100112.5374
147	98807.36285
148	97541.82623
149	96286.70042
150	95108.97803
151	93788.21723
152	92708.67502
153	91623.21189
154	90460.21489
155	89163.31065
156	88053.88606
157	86762.02543
158	85764.66172
159	84670.51116
160	83537.21041
161	82591.61311
162	81628.02893
163	80586.66223
164	79611.13312
165	78547.67107
166	77692.22915
167	76703.70059
168	75778.22349
169	74814.75305
170	73886.17176
171	73035.40556
172	72232.40485
173	71175.97912
174	70316.72611
175	69514.07924
176	68589.43748
177	67740.34884
178	66916.33547
179	66195.33549
180	65592.25585
181	64893.50294
182	64313.01307
183	63517.17265
184	62722.09344
185	61938.17343
186	61386.69233
187	60848.23199
188	60316.35858
189	59563.80543
190	58829.18502
191	58095.98166
192	57364.7436
193	56872.609
194	56173.76916
195	55376.50988
196	54689.07439
197	54224.37316
198	53768.11137
199	53094.45698
200	52429.3592
201	51774.02093
202	51344.35573
203	50706.60506
204	50286.20696
205	49873.52746
206	49472.25337
207	48856.50191
208	48249.73203
209	47654.69675
210	47064.50803
211	46521.74188
212	45945.43119
213	45353.60845
214	44836.02693
215	44329.02809
216	43832.38245
217	43484.19278
218	42926.02839
219	42605.07459
220	42134.0642
221	41672.75535
222	41317.99639
223	40788.99135
224	40285.07444
225	39991.7582
226	39480.6145
227	39151.08745
228	38796.51381
229	38318.08681
230	37829.48478
231	37518.35327
232	37040.67045
233	36569.60793
234	36120.02395
235	35677.47415
236	35224.36746
237	34940.22257
238	34661.82436
239	34389.0695
240	34121.85644
241	33893.56556
242	33478.34268
243	33069.64574
244	32667.37511
245	32290.46084
246	31900.30739
247	31535.32873
248	31156.7796
249	30803.36622
250	30436.16075
251	30051.27054
252	29694.5295
253	29343.43539
254	28973.02366
255	28631.9595
256	28296.30408
257	27939.80417
258	27666.18232
259	27365.19092
260	27021.26063
261	26844.52692
262	26672.05629
263	26385.87968
264	26055.56225
265	25778.4337
266	25483.7525
267	25216.08924
268	24868.21733
269	24527.19461
270	24374.82345
271	24071.14387
272	23819.75867
273	23494.03528
274	23351.38778
275	23212.15192
276	22896.15464
277	22761.81115
278	22482.89705
279	22204.3634
280	21929.71859
281	21762.08839
282	21610.02696
283	21461.75348
284	21294.92228
285	21016.18974
286	20866.75991
287	20728.06005
288	20448.38409
289	20184.86407
290	20046.09179
291	19940.36923
292	19832.66092
293	19731.86273
294	19628.84212
295	19500.54088
296	19360.39777
297	19262.54543
298	19171.79663
299	19061.39573
300	18944.11045
301	18681.44017
302	18424.70275
303	18302.46875
304	18223.37333
305	18146.00588
306	17882.31859
307	17639.53647
308	17402.28417
309	17261.51512
310	17187.84796
311	17115.90804
312	16873.07225
313	16803.84545
314	16736.23895
315	16683.15995
316	16587.58906
317	16492.13961
318	16261.42593
319	16037.2181
320	15819.33846
321	15756.58543
322	15545.79717
323	15343.45211
324	15147.01715
325	15088.38546
326	15017.54272
327	14951.37441
328	14760.97975
329	14697.2119
330	14513.28762
331	14334.67002
332	14138.2753
333	14086.54
334	14035.91873
335	13845.02418
336	13788.49174
337	13733.35994
338	13694.8842
339	13510.37411
340	13329.84334
341	13261.85124
342	13085.89326
343	13020.26886
344	12907.83707
345	12845.20376
346	12675.44821
347	12625.16106
348	12576.06554
349	12534.50593
350	12487.55901
351	12426.85877
352	12263.5999
353	12218.19232
354	12072.89813
355	12034.93278
356	11992.06972
357	11933.8605
358	11897.52341
359	11724.86296
360	11689.90639
361	11630.0526
362	11478.54485
363	11330.27049
364	11259.27832
365	11225.45647
366	11081.69529
367	10944.56535
368	10907.13107
369	10875.65747
370	10798.80552
371	10723.84515
372	10693.97179
373	10558.50045
374	10407.94353
375	10277.65132
376	10180.47643
377	10085.6239
378	9993.037663
379	9962.042322
380	9936.096718
381	9813.201585
382	9663.178531
383	9580.725593
384	9503.341449
385	9479.504812
386	9452.226446
387	9381.126115
388	9354.371394
389	9329.397137
390	9256.66376
391	9117.387342
392	9048.257462
393	8978.014973
394	8909.921956
395	8843.916486
396	8777.816311
397	8714.837009
398	8651.511043
399	8629.455827
400	8606.798257
401	8546.18633
402	8484.35894
403	8425.456223
404	8368.135207
405	8312.35311
406	8254.513962
407	8202.97784
408	8152.750575
409	8103.796353
410	7993.927083
411	7971.92339
412	7917.627419
413	7870.717623
414	7763.00155
415	7744.777469
416	7699.482189
417	7679.606146
418	7623.501874
419	7559.267492
420	7496.585462
421	7453.45858
422	7411.415344
423	7391.53519
424	7350.395934
425	7310.28594
426	7258.263328
427	7239.177593
428	7199.922819
429	7181.071816
430	7142.507928
431	7104.90152
432	7086.056168
433	7049.226777
434	7013.308593
435	6978.277821
436	6961.225224
437	6926.875781
438	6893.372476
439	6860.693435
440	6843.518461
441	6811.461014
442	6780.190256
443	6749.686041
444	6713.828674
445	6684.0946
446	6649.839131
447	6617.087277
448	6588.06952
449	6530.388194
450	6472.738872
451	6441.542151
452	6412.989273
453	6383.128335
454	6354.558858
455	6327.215373
456	6301.035877
457	6272.967197
458	6237.424039
459	6212.844481
460	6185.301723
461	6158.412438
462	6124.420213
463	6091.501581
464	6050.862362
465	6011.649705
466	5980.747238
467	5954.44697
468	5918.1968
469	5893.879764
470	5858.928763
471	5835.366995
472	5801.887601
473	5769.499659
474	5746.5731
475	5715.209859
476	5667.477302
477	5645.472485
478	5631.831964
479	5589.126246
480	5569.860583
481	5528.330247
482	5513.590939
483	5499.321054
484	5485.504542
485	5445.486154
486	5428.478788
487	5389.442981
488	5354.307494
489	5342.692227
490	5329.409366
491	5313.636815
492	5272.939119
493	5239.8857
494	5229.229785
495	5190.918948
496	5152.907358
497	5140.383525
498	5128.250542
499	5090.977261
