iter	Passed	Remaining
0	20	10423
1	34	8705
2	61	10139
3	75	9395
4	103	10251
5	113	9339
6	139	9824
7	164	10111
8	191	10468
9	217	10679
10	242	10791
11	268	10905
12	292	10963
13	318	11060
14	345	11182
15	371	11244
16	395	11223
17	420	11266
18	448	11359
19	470	11288
20	496	11313
21	522	11354
22	536	11133
23	563	11167
24	575	10942
25	600	10946
26	626	10969
27	652	10992
28	676	10992
29	705	11045
30	719	10878
31	745	10905
32	762	10794
33	787	10789
34	812	10790
35	838	10801
36	863	10805
37	892	10844
38	918	10855
39	944	10861
40	972	10890
41	990	10801
42	1016	10802
43	1043	10809
44	1069	10818
45	1094	10799
46	1119	10792
47	1144	10781
48	1169	10762
49	1174	10570
50	1198	10550
51	1208	10414
52	1235	10416
53	1260	10407
54	1285	10401
55	1310	10390
56	1335	10380
57	1360	10367
58	1387	10367
59	1412	10361
60	1438	10355
61	1465	10350
62	1488	10323
63	1513	10308
64	1537	10287
65	1563	10282
66	1590	10279
67	1615	10263
68	1640	10244
69	1665	10228
70	1687	10195
71	1710	10170
72	1727	10103
73	1741	10028
74	1767	10018
75	1794	10010
76	1818	9989
77	1843	9975
78	1865	9943
79	1890	9923
80	1916	9911
81	1940	9892
82	1960	9848
83	1988	9845
84	2014	9837
85	2024	9746
86	2050	9735
87	2075	9715
88	2101	9706
89	2127	9693
90	2153	9678
91	2178	9661
92	2204	9649
93	2230	9634
94	2257	9622
95	2283	9611
96	2310	9597
97	2336	9583
98	2355	9542
99	2381	9524
100	2408	9514
101	2434	9501
102	2460	9483
103	2469	9404
104	2495	9387
105	2521	9371
106	2546	9353
107	2570	9330
108	2596	9314
109	2605	9236
110	2630	9218
111	2657	9205
112	2673	9155
113	2699	9140
114	2729	9138
115	2743	9080
116	2769	9064
117	2795	9049
118	2821	9033
119	2838	8988
120	2864	8973
121	2891	8957
122	2918	8945
123	2940	8917
124	2969	8907
125	2995	8892
126	3021	8874
127	3047	8856
128	3067	8821
129	3076	8755
130	3102	8739
131	3128	8721
132	3154	8703
133	3182	8692
134	3208	8674
135	3233	8655
136	3246	8601
137	3272	8583
138	3299	8568
139	3328	8559
140	3355	8542
141	3381	8526
142	3408	8509
143	3433	8488
144	3460	8471
145	3486	8454
146	3512	8434
147	3541	8422
148	3550	8364
149	3577	8346
150	3651	8440
151	3686	8439
152	3712	8420
153	3738	8400
154	3751	8349
155	3772	8319
156	3798	8298
157	3826	8282
158	3850	8258
159	3877	8240
160	3898	8209
161	3924	8188
