iter	Accuracy	Logloss
0	0.8216292135	0.6590245481
1	0.8230337079	0.6316287889
2	0.8202247191	0.6077057949
3	0.8216292135	0.58643265
4	0.8314606742	0.5626083276
5	0.827247191	0.5527779578
6	0.827247191	0.5430148342
7	0.8286516854	0.530794358
8	0.827247191	0.519705388
9	0.8230337079	0.5136068556
10	0.8188202247	0.5032522289
11	0.8258426966	0.492230393
12	0.8258426966	0.4828060584
13	0.827247191	0.474392731
14	0.8342696629	0.4642579376
15	0.8342696629	0.4577817924
16	0.8342696629	0.4507781781
17	0.8328651685	0.4458324179
18	0.8328651685	0.4424319756
19	0.8342696629	0.4392682639
20	0.8328651685	0.4364535143
21	0.8342696629	0.4316761906
22	0.8328651685	0.43048899
23	0.8328651685	0.4261131254
24	0.8314606742	0.4215719529
25	0.8328651685	0.4168958905
26	0.8370786517	0.4101462578
27	0.8384831461	0.4069882652
28	0.8483146067	0.4045777549
29	0.845505618	0.4013604629
30	0.8469101124	0.3981018261
31	0.8511235955	0.3969017132
32	0.8511235955	0.3939549311
33	0.845505618	0.3923979992
34	0.8511235955	0.3915036437
35	0.8553370787	0.3897530494
36	0.8581460674	0.3867942325
37	0.8539325843	0.3847417651
38	0.856741573	0.3825833479
39	0.8525280899	0.3788771038
40	0.856741573	0.3777769917
41	0.8553370787	0.3760095484
42	0.8539325843	0.3742629408
43	0.856741573	0.3731604253
44	0.8581460674	0.3699242898
45	0.8595505618	0.367596776
46	0.8609550562	0.3669954127
47	0.8609550562	0.3656289189
48	0.8609550562	0.3640394411
49	0.8637640449	0.3630195648
50	0.8609550562	0.3626562572
51	0.8623595506	0.3607541366
52	0.8609550562	0.36070415
53	0.8637640449	0.3588562662
54	0.8665730337	0.3573329244
55	0.8665730337	0.357328797
56	0.8665730337	0.3557860949
57	0.8665730337	0.355324751
58	0.8665730337	0.3552804
59	0.8665730337	0.3542578764
60	0.8693820225	0.3534349237
61	0.8693820225	0.352369808
62	0.8679775281	0.3503669895
63	0.8679775281	0.3503655251
64	0.8679775281	0.3479332841
65	0.8679775281	0.3466298052
66	0.8679775281	0.3461386061
67	0.8679775281	0.3456938017
68	0.8679775281	0.34566927
69	0.8693820225	0.3448833935
70	0.8693820225	0.343811171
71	0.8707865169	0.3429377905
72	0.8693820225	0.3423342912
73	0.8707865169	0.3412313166
74	0.8707865169	0.3391067832
75	0.8707865169	0.3390419206
