iter	Passed	Remaining
0	174	87276
1	188	46952
2	202	33483
3	212	26315
4	220	21875
5	226	18655
6	242	17068
7	253	15599
8	268	14672
9	283	13914
10	289	12866
11	295	12001
12	303	11375
13	311	10804
14	320	10350
15	333	10082
16	341	9697
17	354	9495
18	365	9256
19	373	8962
20	384	8768
21	394	8573
22	409	8489
23	415	8240
24	423	8042
25	429	7826
26	435	7626
27	445	7503
28	460	7471
29	468	7346
30	483	7320
31	491	7186
32	497	7041
33	507	6950
34	522	6938
35	528	6807
36	533	6681
37	539	6556
38	549	6499
39	560	6441
40	565	6332
41	580	6327
42	587	6246
43	593	6149
44	602	6095
45	612	6043
46	622	5998
47	636	5991
48	641	5903
49	649	5843
50	663	5837
51	668	5757
52	682	5752
53	691	5714
54	702	5687
55	710	5634
56	719	5592
57	729	5558
58	734	5489
59	744	5456
60	751	5405
61	756	5342
62	761	5285
63	773	5268
64	779	5214
65	790	5199
66	800	5171
67	811	5158
68	820	5128
69	831	5107
70	836	5056
71	843	5012
72	853	4991
73	860	4952
74	866	4909
75	880	4911
76	891	4898
77	908	4914
78	916	4885
79	923	4846
80	929	4806
81	938	4782
82	945	4747
83	953	4721
84	960	4689
85	968	4664
86	975	4632
87	982	4598
88	996	4601
89	1007	4591
90	1016	4567
91	1025	4546
92	1033	4521
93	1039	4488
94	1054	4495
95	1069	4499
96	1079	4485
97	1087	4461
98	1093	4428
99	1103	4412
100	1108	4380
101	1116	4354
102	1122	4326
103	1127	4294
104	1135	4270
105	1145	4256
106	1150	4226
107	1160	4213
108	1166	4183
109	1176	4170
110	1182	4142
111	1194	4136
112	1206	4131
113	1216	4117
114	1221	4090
115	1228	4065
116	1258	4120
117	1287	4167
118	1294	4144
119	1306	4138
120	1316	4122
121	1325	4106
122	1339	4104
123	1344	4078
124	1355	4067
125	1361	4040
126	1366	4014
127	1372	3988
128	1377	3962
129	1383	3937
130	1388	3912
131	1394	3888
132	1407	3883
133	1412	3858
134	1418	3835
135	1424	3811
136	1429	3787
137	1435	3765
138	1441	3742
139	1446	3719
140	1458	3714
141	1464	3692
142	1470	3671
143	1477	3651
144	1482	3630
145	1488	3608
146	1493	3586
147	1499	3566
148	1505	3545
149	1510	3524
150	1516	3504
151	1521	3484
152	1532	3474
153	1537	3454
154	1543	3435
155	1543	3435
156	1555	3419
157	1561	3401
158	1567	3383
159	1574	3367
160	1590	3369
161	1596	3351
162	1602	3334
163	1609	3318
164	1616	3300
165	1623	3286
166	1631	3271
167	1638	3257
168	1644	3241
169	1650	3223
170	1660	3212
171	1666	3196
172	1673	3181
173	1679	3164
174	1685	3147
175	1695	3138
176	1701	3122
177	1708	3108
178	1714	3091
179	1721	3078
